lat,lon,time,alt,speed,bearing
59.4569283,25.1389425,6000,30.9,12.39,344.50
59.4574846,25.1383117,12000,36.1,14.28,299.20
59.4574608,25.1378349,14000,40.3,13.58,264.40
59.4573383,25.1373959,16000,40.5,14.19,241.20
59.457228,25.1370543,18000,43.1,11.47,237.60
59.4571474,25.1366242,20000,42.7,13.00,249.80
59.4570505,25.136265,22000,45.1,11.53,242.00
59.4569514,25.1358928,24000,45.8,11.92,242.30
59.456847,25.1355403,26000,44,11.56,239.80
59.4567261,25.1351989,28000,44.5,11.81,235.10
59.4566306,25.1348526,30000,46.8,11.17,241.50
59.4565111,25.1345528,32000,45.5,10.81,231.90
59.4563669,25.1342336,34000,44.3,12.11,228.40
59.456217,25.1339509,36000,45.4,11.58,223.80
59.4560378,25.1337929,38000,44.4,10.94,204.10
59.4557838,25.1338466,40000,40.7,14.22,173.90
59.4555307,25.1340286,42000,42.2,15.00,159.90
59.4553309,25.1343264,44000,43.8,13.97,142.90
59.4549127,25.1349222,47000,41.8,14.83,146.00
59.4547141,25.135257,49000,38.5,14.58,139.40
59.4544865,25.1355905,51000,35.8,15.81,143.30
59.4542688,25.1359176,53000,34.8,15.28,142.60
59.4541184,25.1363916,55000,33.8,15.83,122.00
59.4540092,25.1369013,57000,34.3,15.69,112.90
59.4538996,25.1373963,59000,34.3,15.31,113.50
59.453829,25.1379283,61000,33.6,15.58,104.60
59.4537548,25.1385587,63000,33.5,18.36,103.00
59.4536923,25.139147,65000,34.2,17.06,101.80
59.4536857,25.1397174,67000,31.3,16.17,91.30
59.4537641,25.1402144,69000,31.2,14.75,72.80
59.4539325,25.1406183,71000,31.1,14.81,50.60
59.4541245,25.14094,73000,31.7,14.06,40.40
59.4543223,25.1411648,75000,32.1,12.72,30.00
59.454539,25.1412748,77000,31,12.47,14.50
59.4547726,25.1413369,79000,31.8,13.14,7.70
59.4550104,25.1413247,81000,32.7,13.25,358.50
59.4552072,25.1411869,83000,32.1,11.64,340.40
59.4553571,25.1409014,85000,30.4,11.64,315.90
59.4554313,25.1405289,87000,29.3,11.33,291.40
59.4553951,25.1401271,89000,30.1,11.58,259.90
59.4552535,25.1398013,91000,30.8,12.14,229.50
59.4550602,25.1395765,93000,31.3,12.50,210.60
59.4548197,25.1395276,95000,31.5,13.47,185.90
59.4545753,25.1395764,97000,31.8,13.69,174.20
59.454327,25.1396466,99000,31.8,13.97,171.80
59.4540631,25.1397111,101000,32.1,14.81,172.90
59.4538156,25.1397676,103000,31.3,13.89,173.40
59.4535766,25.1397925,105000,30.7,13.33,177.00
59.4533536,25.1397879,107000,32.1,12.42,180.60
59.4531525,25.1397488,109000,33.2,11.25,185.60
59.4527497,25.1394395,114000,32.5,11.94,203.20
59.4525311,25.1393609,116000,31.4,12.39,190.40
59.4522863,25.1395289,118000,29.5,14.44,160.80
59.4520852,25.1398875,120000,29.8,15.14,137.80
59.451976,25.140385,122000,30.3,15.36,113.40
59.4519752,25.1409454,124000,29.8,15.89,90.20
59.4520594,25.1414451,126000,31.3,14.92,71.70
59.4521698,25.1418914,128000,31.6,14.08,64.00
59.4522931,25.1423423,130000,31.8,14.53,61.70
59.4523581,25.1428444,132000,30.7,14.69,75.70
59.4523796,25.1433889,134000,30.8,15.50,85.60
59.4523575,25.1439057,136000,32.4,14.69,94.80
59.4522595,25.144393,138000,32.7,14.86,111.60
59.452135,25.1448344,140000,32.4,14.31,119.00
59.4520179,25.145307,142000,32.1,14.92,116.00
59.4520118,25.1458532,144000,30.2,15.50,91.30
59.4521263,25.1463151,146000,30.5,14.58,64.00
59.4523377,25.1465389,148000,30.3,13.39,28.30
59.4525683,25.1465479,150000,30.8,12.86,1.10
59.4527713,25.1464062,152000,31.6,12.00,340.50
59.4529045,25.14611,154000,31.3,11.19,311.50
59.4529882,25.1457752,156000,31.8,10.58,296.20
59.4530803,25.1454409,158000,32.2,10.78,298.50
59.4532206,25.1451657,160000,32,11.06,315.10
59.4535722,25.1447101,163000,32.1,11.50,328.70
59.4537444,25.1444807,165000,32.7,11.58,325.90
59.4538994,25.1442318,167000,33.1,11.14,320.80
59.4540513,25.1439862,169000,32.5,10.97,320.60
59.4541963,25.1437014,171000,31.9,11.42,315.10
59.4543299,25.1434269,173000,31.5,10.78,313.80
59.4544709,25.1431339,175000,31.5,11.44,313.40
59.4546266,25.1428679,177000,31.2,11.50,319.00
59.4547915,25.1426073,179000,30.8,11.78,321.20
59.4549499,25.1423333,181000,31.3,11.75,318.70
59.4551142,25.142113,183000,31.5,11.08,325.70
59.4552872,25.1418625,185000,30.9,11.97,323.70
59.455449,25.1415859,187000,30.6,11.94,319.00
59.4556096,25.1413254,189000,30.4,11.61,320.50
59.4558,25.1411405,191000,29.5,11.83,333.70
59.4560246,25.1411088,193000,28.2,12.56,355.90
59.4562515,25.1412956,195000,27.4,13.69,22.70
59.4564747,25.1414508,197000,29.3,13.19,19.50
59.4566715,25.1412355,199000,25.5,12.56,330.90
59.4567355,25.1407782,201000,27.3,13.44,285.40
59.4566095,25.1403941,203000,30.2,12.94,237.20
59.4564018,25.1401961,205000,34.4,12.86,205.80
59.4560842,25.1399725,208000,37,12.50,201.10
59.4558857,25.1397699,210000,38.1,12.47,207.40
59.4557211,25.1395582,212000,38.7,10.97,213.20
59.4555599,25.1393612,214000,37.1,10.58,211.80
59.4553362,25.1392553,216000,34.8,12.81,193.50
59.45437,25.1393032,224000,37.9,13.06,173.10
59.4541255,25.1393872,226000,37.8,13.83,170.10
59.4538765,25.1394868,228000,36.6,14.17,168.50
59.4536341,25.1396016,230000,35.9,13.89,166.50
59.4533981,25.1397257,232000,36,13.61,165.00
59.4531619,25.1398572,234000,35.7,13.67,164.20
59.45292,25.1400547,236000,35.4,14.58,157.50
59.4525683,25.1403783,240000,35.3,14.39,154.00
59.4523499,25.1406682,242000,34.5,14.69,146.00
59.4521589,25.1410263,244000,33.2,14.69,136.40
59.4519966,25.141465,246000,32.4,15.39,126.10
59.4518578,25.1419536,248000,32.6,15.86,119.20
59.4517114,25.1424338,250000,32.6,15.86,121.00
59.4515047,25.1427912,252000,31.5,15.33,138.70
59.4512503,25.1430011,254000,32.7,15.36,157.20
59.451015,25.1430379,256000,34.5,13.14,175.50
59.4508184,25.142949,258000,35,11.25,192.90
59.450596,25.1428613,260000,33.9,12.64,191.30
59.4503487,25.1429729,262000,32.6,14.14,167.10
59.4501541,25.143359,264000,32.9,15.42,134.80
59.4500872,25.1439355,266000,33.1,16.78,102.90
59.4501439,25.1445093,268000,34,16.58,79.00
59.4503023,25.1449548,270000,34.6,15.42,55.00
59.4505177,25.1452543,272000,35.6,14.69,35.30
59.450734,25.1454747,274000,37.4,13.58,27.40
59.4509527,25.1456597,276000,37.2,13.25,23.30
59.4511705,25.1458015,278000,36.2,12.78,18.30
59.4513911,25.1459612,280000,36.2,13.08,20.20
59.4516068,25.1460927,282000,36.3,12.58,17.20
59.4518239,25.1461962,284000,35.3,12.44,13.60
59.4520472,25.1463293,286000,35,13.00,16.90
59.4522602,25.1464547,288000,34.8,12.39,16.70
59.4526822,25.146325,291000,35.6,11.67,339.60
59.4528533,25.1461121,293000,38.5,11.28,327.70
59.4529787,25.1459176,295000,39.5,8.89,321.80
59.4531175,25.1456734,297000,39,10.39,318.20
59.4532469,25.145412,299000,38.3,10.33,314.20
59.4533734,25.1451343,301000,37.5,10.56,311.90
59.4534924,25.1448298,303000,37.4,10.89,307.60
59.4536166,25.1445117,305000,36.7,11.36,307.50
59.4537245,25.1442148,307000,35,10.33,305.60
59.4538253,25.1438746,309000,33.1,11.17,300.20
59.4539143,25.1435496,311000,33.1,10.47,298.30
59.4539765,25.1431757,313000,32.3,11.17,288.10
59.4540903,25.1428367,315000,32.7,11.53,303.40
59.4541708,25.1425172,317000,33.3,10.11,296.40
59.4542463,25.1421335,319000,32.3,11.67,291.20
59.4543551,25.1417628,321000,32.4,12.14,300.00
59.4544304,25.1413846,323000,33.3,11.53,291.40
59.4544652,25.1409927,325000,34.1,11.28,279.90
59.454533,25.1406384,327000,34.2,10.72,290.60
59.4545769,25.1402483,329000,34.1,11.33,282.50
59.4546219,25.1398533,331000,34.9,11.47,282.60
59.454676,25.1395141,333000,35.6,10.08,287.40
59.4547275,25.1391593,335000,33.7,10.47,285.90
59.4547844,25.1387803,337000,33.4,11.19,286.50
59.4548617,25.1384238,339000,34.1,11.00,293.10
59.4549063,25.138035,341000,34.9,11.31,282.70
59.4549793,25.1376721,343000,34.5,11.06,291.60
59.4550259,25.1372845,345000,34.8,11.31,283.30
59.4550493,25.1369159,347000,34,10.53,277.10
59.4551709,25.1366449,349000,31.9,10.25,311.40
59.4553954,25.1366164,351000,28.2,12.53,356.30
59.4556275,25.1369757,353000,26.2,16.47,38.20
59.4557072,25.1375824,355000,28.7,17.78,75.50
59.4556988,25.1381366,357000,31.7,15.72,91.70
59.4557753,25.1386374,359000,29.7,14.83,73.30
59.4559417,25.1390709,361000,29.5,15.39,52.90
59.456359,25.1396455,366000,33.1,13.72,31.10
59.4565524,25.1399226,368000,35.1,13.33,36.10
59.4567351,25.1402095,370000,34.8,13.03,38.60
59.4569323,25.1404984,372000,35.3,13.69,36.70
59.4571139,25.1408069,374000,36.1,13.36,40.80
59.4573076,25.1410789,376000,35.7,13.25,35.50
59.4574988,25.1413799,378000,36.1,13.64,38.70
59.4576815,25.1416957,380000,36.2,13.56,41.30
59.457876,25.1419992,382000,36.4,13.83,38.40
59.4586228,25.1431118,390000,38.1,12.56,33.30
59.4588182,25.1432789,392000,38.3,11.86,23.50
59.459446,25.1423249,402000,36.9,11.03,253.80
59.4592873,25.1420437,404000,37.6,11.92,222.00
59.4590468,25.1419952,406000,36.7,13.47,185.90
59.4585645,25.142166,409000,35.1,13.56,172.00
59.4583183,25.1421859,411000,34.2,13.72,177.60
59.4580762,25.1422128,413000,34.2,13.50,176.80
59.4578412,25.1422553,415000,35,13.14,174.70
59.4576104,25.1423243,417000,34.9,13.00,171.40
59.4573687,25.1423947,419000,34.1,13.61,171.60
59.4571291,25.1424648,421000,33.6,13.50,171.50
59.4569015,25.142444,423000,31.2,12.69,182.70
59.4566759,25.1423435,425000,30.7,12.89,192.80
59.4564647,25.1421914,427000,30.9,12.53,200.10
59.4562846,25.1419773,429000,30.3,11.72,211.10
59.456129,25.1417013,431000,29.8,11.67,222.00
59.455998,25.1413732,433000,29.8,11.83,231.80
59.4559411,25.1410019,435000,29.8,11.00,253.20
59.4558972,25.1406294,437000,29.9,10.83,256.90
59.4558312,25.1402529,439000,29.7,11.28,251.00
59.4557267,25.1398731,441000,29.9,12.25,241.60
59.4556133,25.1394845,443000,31,12.69,240.10
59.4554611,25.1391743,445000,31.8,12.22,226.00
59.4552471,25.1390616,447000,30.4,12.33,195.00
59.4550168,25.1392913,449000,28.6,14.39,153.10
59.4548821,25.139824,451000,27.9,16.86,116.50
59.455551,25.1392839,457000,72.3,18.83,28.60
59.4557644,25.1393876,459000,73.6,12.25,13.90
59.4560085,25.1396849,461000,80.2,16.00,31.80
59.4562395,25.1399922,463000,84.8,15.53,34.10
59.4564463,25.1402699,465000,84,13.94,34.30
59.4566503,25.1405894,467000,83.7,14.53,38.50
59.456848,25.1409054,469000,84.3,14.19,39.10
59.4570537,25.1412246,471000,84.7,14.61,38.30
59.4572659,25.1415288,473000,86,14.64,36.10
59.4574767,25.1417421,475000,87,13.19,27.20
59.4577026,25.1417511,477000,87.3,12.58,1.20
59.4578897,25.1414881,479000,87.3,12.81,324.50
59.4579983,25.1411391,481000,88.3,11.61,301.50
59.4580609,25.1407543,483000,88.6,11.44,287.80
59.4581322,25.1404015,485000,89.1,10.75,291.70
59.4581514,25.1400205,487000,88.3,10.86,275.70
59.4581796,25.1392123,492000,86.6,11.58,275.10
59.4581079,25.1388347,494000,85.8,11.42,249.50
59.4579556,25.1385049,496000,84.4,12.64,227.70
59.4575507,25.1380552,499000,86.5,12.78,206.30
59.4573396,25.1379224,501000,87.1,12.33,197.70
59.4566029,25.1377095,508000,38.5,10.78,203.30
59.4564073,25.1375379,510000,37.2,11.94,204.00
59.4561971,25.13737,512000,36.7,12.64,202.10
59.4560082,25.1372203,514000,37.1,11.33,201.90
59.4558098,25.1370661,516000,37,11.89,201.60
59.4555672,25.1370894,518000,36.2,13.53,177.20
59.4553305,25.1373237,520000,35.4,14.78,153.30
59.4551133,25.1376485,522000,37.2,15.19,142.80
59.4549491,25.1380451,524000,35.9,14.50,129.20
59.4547957,25.1384854,526000,36.1,15.14,124.40
59.4546727,25.1390031,528000,36.1,16.19,115.10
59.4545836,25.139526,530000,36.3,15.64,108.50
59.4545255,25.1400601,532000,35.9,15.50,102.10
59.4545952,25.1405778,534000,33.9,15.19,75.20
59.4547361,25.1410118,536000,33.4,14.58,57.40
59.4549407,25.141261,538000,33.6,13.42,31.80
59.4551609,25.1413605,540000,33.9,12.58,12.90
59.45537,25.1413198,542000,35.1,11.69,354.40
59.4555613,25.141182,544000,35.7,11.36,339.90
59.4557394,25.1409973,546000,34.8,11.22,332.20
59.456069,25.1406243,549000,36.6,10.19,330.00
59.4562364,25.1404094,551000,34.5,11.14,326.90
59.4564211,25.1401763,553000,36.6,12.22,327.30
59.4565816,25.1399655,555000,39.9,10.75,326.30
59.4567331,25.1397913,557000,39.3,9.78,329.70
59.4569127,25.1396156,559000,37.8,11.17,333.60
59.4570817,25.1393978,561000,37.7,11.25,326.80
59.457231,25.1391883,563000,38.4,10.22,324.50
59.4573775,25.1390004,565000,37.1,9.75,326.90
59.4575388,25.1387661,567000,37.1,11.17,323.60
59.4576811,25.1385129,569000,35.8,10.69,317.90
59.4578114,25.1382136,571000,36.6,11.17,310.60
59.4579,25.1379187,573000,36.8,9.72,300.60
59.4580021,25.1376488,575000,37,9.53,306.70
59.4581284,25.1373908,577000,36.5,10.14,313.90
59.4582316,25.1371044,579000,36.6,9.94,305.30
59.4583336,25.1367868,581000,35.6,10.64,302.30
59.4584299,25.136463,583000,35.7,10.64,300.30
59.4585024,25.1361144,585000,37,10.67,292.30
59.4585819,25.1357688,587000,36.7,10.75,294.40
59.4586611,25.1354364,589000,36.7,10.42,295.10
59.4587009,25.1350591,591000,36.1,10.92,281.70
59.4587577,25.1346733,593000,34.9,11.39,286.20
59.4588416,25.1343382,595000,36.6,10.58,296.20
59.4588348,25.1339652,597000,36.7,10.58,267.90
59.4587022,25.1336499,599000,32.5,11.58,230.40
59.4584787,25.1334866,601000,31.8,13.28,200.40
59.4582554,25.1333711,603000,34.3,12.86,194.70
59.458059,25.1333059,605000,34.2,11.08,189.60
59.4578238,25.1333661,607000,32.2,13.22,172.60
59.4575759,25.1334381,609000,32.6,13.97,171.60
59.4574007,25.133214,611000,30.4,11.64,213.00
59.4573363,25.1328313,613000,30.1,11.42,251.70
59.4571527,25.1322484,618000,28.1,10.94,220.70
59.4568788,25.132233,620000,27.3,15.25,181.60
59.4566452,25.1326168,622000,27.9,16.97,140.10
59.4565755,25.1332211,624000,28.7,17.58,102.80
59.4565854,25.1337865,626000,30.6,16.06,88.00
59.4565493,25.1342887,628000,31.3,14.39,98.10
59.4565253,25.1348211,630000,28.6,15.17,95.10
59.4566088,25.1353153,632000,29,14.78,71.60
59.4567791,25.1356997,634000,29.2,14.44,48.90
59.4569994,25.1358779,636000,30.1,13.28,22.30
59.457221,25.1358684,638000,30.6,12.33,358.80
59.4574051,25.1357052,640000,30.6,11.25,335.70
59.4575672,25.13549,642000,31.4,10.89,326.00
59.4577389,25.135269,644000,31.9,11.44,326.80
59.4579092,25.1350388,646000,32.1,11.53,325.50
59.4580925,25.1348413,648000,34.9,11.64,331.30
59.4582701,25.1347053,650000,35.1,10.61,338.70
59.458454,25.1345239,652000,34.5,11.47,333.40
59.4586462,25.1343671,654000,34.8,11.58,337.50
59.458842,25.134237,656000,36,11.50,341.30
59.4590289,25.1341172,658000,36,10.94,342.00
59.45924,25.1340409,660000,35.1,11.94,349.60
59.4594616,25.1339626,662000,35.1,12.53,349.80
59.4596792,25.1338966,664000,36.7,12.28,351.20
59.460115,25.1338595,667000,37.4,12.06,354.00
59.4603414,25.1338104,669000,37.7,12.69,353.70
59.4605628,25.1337643,671000,39.7,12.39,354.00
59.4607587,25.1337023,673000,40.2,11.06,350.90
59.4609749,25.1335985,675000,39.9,12.39,346.30
59.4611968,25.1335414,677000,41.9,12.47,352.60
59.4614114,25.1334739,679000,42.8,12.11,350.90
59.4616314,25.1333869,681000,42.9,12.50,348.60
59.4618492,25.1332969,683000,45.5,12.39,348.10
59.4620296,25.1331911,685000,46.8,10.50,343.40
59.4622283,25.1330657,687000,44.6,11.61,342.20
59.4624581,25.1329549,689000,44.1,13.17,346.20
59.4626486,25.1328666,691000,46.7,10.89,346.70
59.462821,25.1327696,693000,45.2,10.00,344.00
59.4630177,25.1325905,695000,42.2,12.08,335.20
59.4632051,25.132364,697000,43.1,12.25,328.40
59.4633937,25.1321924,699000,44.7,11.58,335.20
59.4635738,25.132063,701000,45,10.69,339.90
59.4637429,25.1318593,703000,44,11.06,328.50
59.4639151,25.1316689,705000,44.5,11.00,330.70
59.464087,25.131527,707000,44.6,10.39,337.20
59.4642586,25.1313818,709000,44.1,10.42,336.70
59.4644681,25.1314056,711000,43,11.69,3.30
59.4646698,25.1315296,713000,43.4,11.78,17.30
59.4648642,25.1315992,715000,42.5,11.00,10.30
59.4650596,25.1315059,717000,42.2,11.19,346.40
59.4651785,25.1312409,719000,43.4,10.03,311.40
59.4652463,25.1309842,721000,44.3,8.19,297.50
59.4653547,25.1307561,723000,43.1,8.83,313.10
59.4655149,25.1305439,725000,43.2,10.75,326.10
59.4656785,25.1303719,727000,45.2,10.33,331.90
59.4658448,25.1302349,729000,46.1,10.06,337.30
59.466014,25.1300951,731000,45.8,10.22,337.20
59.4661844,25.129962,733000,45.2,10.22,338.40
59.4663586,25.1298258,735000,45.2,10.44,338.30
59.4665325,25.1296697,737000,45.3,10.64,335.50
59.4666909,25.1294811,739000,44.7,10.31,328.80
59.4670324,25.129127,744000,44.7,10.69,333.20
59.4671944,25.128931,746000,44.7,10.58,328.40
59.4673474,25.128745,748000,44.8,10.03,328.30
59.4675125,25.1285777,750000,45,10.33,332.80
59.4676784,25.1283761,752000,45.1,10.86,328.30
59.4678444,25.1281665,754000,45.7,11.00,327.30
59.4679935,25.1279794,756000,46.6,9.86,327.50
59.468153,25.1278104,758000,46.4,10.08,331.70
59.4682737,25.1275652,760000,44.8,9.67,314.10
59.468398,25.1272941,762000,44.8,10.33,312.10
59.4685804,25.1271461,764000,44.5,11.00,337.60
59.4687737,25.1270596,766000,44.2,11.06,347.20
59.4689621,25.1269601,768000,43,10.86,345.00
59.4691663,25.1268771,770000,41.2,11.61,348.30
59.4693767,25.1268646,772000,40,11.72,358.30
59.4697893,25.1267746,775000,38.1,11.44,349.50
59.4699988,25.1267502,777000,38.1,11.69,356.60
59.4702173,25.126748,779000,37.2,12.17,359.70
59.4704293,25.1267265,781000,35.3,11.83,357.10
59.4706452,25.1267161,783000,34.9,12.03,358.60
59.4708495,25.1268447,785000,35.6,11.94,17.70
59.4710491,25.1270316,787000,34.9,12.31,25.40
59.471278,25.1271203,789000,33.9,13.00,11.10
59.4715093,25.127131,791000,35.5,12.89,1.30
59.471707,25.1271862,793000,35.8,11.11,8.10
59.4719201,25.1273192,795000,34.8,12.44,17.60
59.4721301,25.1274973,797000,33.7,12.75,23.30
59.4723441,25.1276655,799000,33.7,12.83,21.80
59.4725584,25.127718,801000,34.6,12.03,7.10
59.4727658,25.1279098,803000,34.4,12.78,25.20
59.4729534,25.1282569,805000,35,14.36,43.20
59.4730962,25.128642,807000,34.7,13.50,53.90
59.4731894,25.1290599,809000,30.3,12.94,66.30
59.4732951,25.1295212,811000,25.5,14.33,65.70
59.4734511,25.1299226,813000,22.3,14.31,52.60
59.4736531,25.1302107,815000,22,13.89,35.90
59.4738555,25.1303565,817000,20.7,12.00,20.10
59.4740657,25.130495,819000,20.6,12.36,18.50
59.4742466,25.1308159,821000,19.5,13.58,42.00
59.474409,25.1311636,823000,19.7,13.39,47.40
59.4746043,25.1314122,825000,18.5,12.97,32.90
59.474798,25.1316887,827000,18.2,13.33,35.90
59.4749978,25.1319414,829000,18.9,13.22,32.70
59.4752006,25.1321243,831000,20.1,12.42,24.60
59.4753453,25.1325197,833000,19,13.81,54.20
59.4754182,25.1330312,835000,19.4,15.06,74.30
59.4754974,25.1335247,837000,20,14.67,72.50
59.4755028,25.1340999,839000,17.7,16.31,88.90
59.4754527,25.1347075,841000,18.6,17.44,99.20
59.4754789,25.1352892,843000,18.9,16.56,84.90
59.4756031,25.135833,845000,19.6,16.89,65.80
59.4757274,25.1363519,847000,22.3,16.25,64.70
59.4758546,25.1368148,849000,22.6,14.92,61.60
59.4760057,25.1372566,851000,23.7,15.08,56.00
59.4760872,25.1377395,853000,24.6,14.42,71.60
59.476211,25.1381876,855000,22.5,14.44,61.50
59.4763344,25.1386588,857000,19.7,15.03,62.70
59.4764181,25.1391782,859000,18.8,15.44,72.40
59.4765556,25.1395865,861000,17.5,13.89,56.50
59.476663,25.1400961,863000,15,15.64,67.50
59.4767537,25.1406259,865000,13.7,15.83,71.40
59.4769715,25.1415231,870000,9,14.00,71.60
59.4769914,25.1421139,872000,6.9,16.78,86.20
59.4769912,25.1427189,874000,6.1,17.14,90.00
59.4769898,25.1433025,876000,4.5,16.53,90.30
59.4770198,25.1438807,878000,3.8,16.47,84.20
59.4770696,25.1444378,880000,3.7,16.03,80.00
59.4771324,25.1449646,882000,3.1,15.33,76.80
59.4772122,25.1454592,884000,2.8,14.69,72.40
59.477285,25.1459835,886000,2.9,15.39,74.70
59.4773676,25.1464764,888000,2.9,14.69,71.70
59.4774752,25.146942,890000,3,14.50,65.50
59.477642,25.1473672,892000,3.1,15.22,52.30
